[ 19.9891, 67.4343 ]
[ 20.286, 68.0819 ]
[ 20.5769, 68.747 ]
[ 20.8615, 69.43 ]
[ 21.1395, 70.1312 ]
[ 21.4106, 70.8509 ]
[ 21.6746, 71.5895 ]
[ 21.931, 72.3474 ]
[ 22.1797, 73.125 ]
[ 22.4203, 73.9226 ]
[ 22.6525, 74.7405 ]
[ 22.8761, 75.5791 ]
[ 23.0907, 76.4388 ]
[ 23.296, 77.32 ]
[ 23.4918, 78.223 ]
[ 23.6777, 79.1481 ]
[ 23.8534, 80.0957 ]
[ 24.0188, 81.0662 ]
[ 24.1733, 82.06 ]
[ 24.3168, 83.0774 ]
[ 24.449, 84.1187 ]
[ 24.5695, 85.1843 ]
[ 24.6781, 86.2746 ]
[ 24.7745, 87.39 ]
[ 24.8583, 88.5308 ]
[ 24.9293, 89.6973 ]
[ 24.9872, 90.8899 ]
[ 25.0317, 92.109 ]
[ 25.0624, 93.355 ]
[ 25.0792, 94.6282 ]
[ 25.0816, 95.9289 ]
[ 25.0694, 97.2575 ]
[ 25.0423, 98.6144 ]
[ 25, 100 ]
[ 25.0423, 100.148 ]
[ 25.0694, 100.293 ]
[ 25.0816, 100.435 ]
[ 25.0792, 100.573 ]
[ 25.0624, 100.709 ]
[ 25.0317, 100.841 ]
[ 24.9872, 100.971 ]
[ 24.9293, 101.099 ]
[ 24.8583, 101.225 ]
[ 24.7745, 101.348 ]
[ 24.6781, 101.469 ]
[ 24.5695, 101.589 ]
[ 24.449, 101.707 ]
[ 24.3168, 101.824 ]
[ 24.1733, 101.939 ]
[ 24.0188, 102.054 ]
[ 23.8534, 102.167 ]
[ 23.6777, 102.28 ]
[ 23.4918, 102.392 ]
[ 23.296, 102.504 ]
[ 23.0907, 102.616 ]
[ 22.8761, 102.727 ]
[ 22.6525, 102.838 ]
[ 22.4203, 102.95 ]
[ 22.1797, 103.062 ]
[ 21.931, 103.175 ]
[ 21.6746, 103.289 ]
[ 21.4106, 103.403 ]
[ 21.1395, 103.519 ]
[ 20.8615, 103.636 ]
[ 20.5769, 103.754 ]
[ 20.286, 103.874 ]
[ 19.9891, 103.996 ]
[ 19.6865, 104.12 ]
[ 19.3786, 104.246 ]
[ 19.0655, 104.374 ]
[ 18.7476, 104.504 ]
[ 18.4252, 104.637 ]
[ 18.0985, 104.773 ]
[ 17.768, 104.912 ]
[ 17.4338, 105.054 ]
[ 17.0964, 105.199 ]
[ 16.7558, 105.348 ]
[ 16.4126, 105.5 ]
[ 16.0669, 105.657 ]
[ 15.7191, 105.817 ]
[ 15.3695, 105.981 ]
[ 15.0183, 106.149 ]
[ 14.6659, 106.322 ]
[ 14.3125, 106.5 ]
[ 13.9585, 106.682 ]
[ 13.6041, 106.87 ]
[ 13.2497, 107.062 ]
[ 12.8955, 107.26 ]
[ 12.5418, 107.464 ]
[ 12.189, 107.672 ]
[ 11.8373, 107.887 ]
[ 11.487, 108.108 ]
[ 11.1385, 108.335 ]
[ 10.792, 108.568 ]
[ 10.4478, 108.808 ]
[ 10.1062, 109.054 ]
[ 9.76758, 109.307 ]
[ 9.43213, 109.567 ]
[ 9.10019, 109.835 ]
[ 8.77205, 110.109 ]
[ 8.44802, 110.391 ]
[ 8.12838, 110.681 ]
[ 7.81345, 110.978 ]
[ 7.5035, 111.284 ]
