[ 18.8586, 96.1257 ]
[ 19.1641, 96.2457 ]
[ 19.465, 96.364 ]
[ 19.761, 96.4809 ]
[ 20.0518, 96.5965 ]
[ 20.3372, 96.7111 ]
[ 20.6169, 96.8247 ]
[ 20.8906, 96.9375 ]
[ 21.1581, 97.0497 ]
[ 21.419, 97.1615 ]
[ 21.6732, 97.2731 ]
[ 21.9202, 97.3845 ]
[ 22.16, 97.496 ]
[ 22.3922, 97.6077 ]
[ 22.6164, 97.7199 ]
[ 22.8326, 97.8326 ]
[ 23.0403, 97.9461 ]
[ 23.2394, 98.0605 ]
[ 23.4295, 98.176 ]
[ 23.6104, 98.2927 ]
[ 23.7818, 98.4108 ]
[ 23.9434, 98.5305 ]
[ 24.095, 98.652 ]
[ 24.2363, 98.7754 ]
[ 24.367, 98.9009 ]
[ 24.4869, 99.0286 ]
[ 24.5957, 99.1588 ]
[ 24.6931, 99.2915 ]
[ 24.7789, 99.427 ]
[ 24.8527, 99.5654 ]
[ 24.9144, 99.707 ]
[ 24.9635, 99.8518 ]
[ 25, 100 ]
[ 25, 100 ]
[ 25.0423, 101.386 ]
[ 25.0694, 102.742 ]
[ 25.0816, 104.071 ]
[ 25.0792, 105.372 ]
[ 25.0624, 106.645 ]
[ 25.0317, 107.891 ]
[ 24.9872, 109.11 ]
[ 24.9293, 110.303 ]
[ 24.8583, 111.469 ]
[ 24.7745, 112.61 ]
[ 24.6781, 113.725 ]
[ 24.5695, 114.816 ]
[ 24.449, 115.881 ]
[ 24.3168, 116.923 ]
[ 24.1733, 117.94 ]
[ 24.0188, 118.934 ]
[ 23.8534, 119.904 ]
[ 23.6777, 120.852 ]
[ 23.4918, 121.777 ]
[ 23.296, 122.68 ]
[ 23.0907, 123.561 ]
[ 22.8761, 124.421 ]
[ 22.6525, 125.26 ]
[ 22.4203, 126.077 ]
[ 22.1797, 126.875 ]
[ 21.931, 127.653 ]
[ 21.6746, 128.41 ]
[ 21.4106, 129.149 ]
[ 21.1395, 129.869 ]
[ 20.8615, 130.57 ]
[ 20.5769, 131.253 ]
[ 20.286, 131.918 ]
[ 19.9891, 132.566 ]
[ 19.6865, 133.196 ]
[ 19.3786, 133.81 ]
[ 19.0655, 134.407 ]
[ 18.7476, 134.989 ]
[ 18.4252, 135.554 ]
[ 18.0985, 136.105 ]
[ 17.768, 136.64 ]
[ 17.4338, 137.161 ]
